"season","round","hTeam","aTeam","hScore","aScore","hOdd","dOdd","aOdd","hProb","dProb","aProb"
"2005-2006","1","Paris St. Germain","FC Metz",4,1,1.5,3.42,6.24,0.5955993167889078,0.2612277705214508,0.1431729126896413
"2005-2006","1","Olympique Marseille","Girondins Bordeaux",0,2,1.71,3.22,4.87,0.5312973271489703,0.2821485805666892,0.1865540922843407
"2005-2006","1","FC Sochaux","Toulouse FC",0,1,2.05,3,3.6,0.4438964241676942,0.30332922318125766,0.2527743526510481
"2005-2006","1","AS St. Etienne","AC Ajaccio",0,0,1.7,3.1,5,0.5295524427741715,0.29039972668261016,0.18004783054321832
"2005-2006","1","RC Strasbourg","AJ Auxerre",0,0,2.25,2.9,3.2,0.4033905672679852,0.3129754401217127,0.2836339926103021
"2005-2006","1","AS Nancy","AS Monaco",0,1,3.75,3,2,0.2424242424242424,0.303030303030303,0.45454545454545453
"2005-2006","1","Lille OSC","Stade Rennes",1,0,1.85,3,4.22,0.48660491217281004,0.30007302917323286,0.21332205865395704
"2005-2006","1","OGC Nice","ESTAC Troyes",1,1,1.75,3,5,0.5172413793103449,0.30172413793103453,0.18103448275862072
"2005-2006","1","FC Nantes","RC Lens",2,0,2.2,3,3.1,0.409330985915493,0.3001760563380282,0.2904929577464789
"2005-2006","1","Le Mans FC","Olympique Lyon",1,2,4.98,3.15,1.7,0.18147620984139892,0.2869052460349736,0.5316185441236275
"2005-2006","2","RC Lens","Olympique Marseille",2,0,2.2,2.99,3.1,0.40892045705210217,0.3008779282657608,0.290201614682137
"2005-2006","2","Toulouse FC","OGC Nice",0,2,1.85,3,4.2,0.48611111111111105,0.2997685185185185,0.21412037037037035
"2005-2006","2","FC Sochaux","Paris St. Germain",0,1,2.96,3,2.3,0.3054719319992916,0.3013989729059677,0.39312909509474053
"2005-2006","2","ESTAC Troyes","AS St. Etienne",0,0,2.52,2.85,2.75,0.3570696371215746,0.3157247317706554,0.3272056311077702
"2005-2006","2","FC Metz","Le Mans FC",0,0,1.95,3,3.82,0.4628619895795469,0.30086029322670543,0.2362777171937477
"2005-2006","2","Girondins Bordeaux","AS Nancy",1,0,1.6,3.25,5.81,0.5657084650298845,0.2785026289377893,0.1557889060323262
"2005-2006","2","AC Ajaccio","Lille OSC",3,3,2.72,2.85,2.6,0.33327336511648825,0.3180714221462625,0.34865521273724925
"2005-2006","2","AS Monaco","AJ Auxerre",0,2,1.61,3.25,5.5,0.5592491200625733,0.2770434102463825,0.16370746969104422
"2005-2006","2","Stade Rennes","FC Nantes",0,3,1.83,3,4.5,0.4958677685950413,0.3024793388429752,0.20165289256198346
"2005-2006","2","Olympique Lyon","RC Strasbourg",1,0,1.35,4,8,0.6639004149377593,0.22406639004149378,0.11203319502074689
"2005-2006","3","Paris St. Germain","Toulouse FC",2,0,1.5,3.45,6.5,0.6004016064257027,0.2610441767068273,0.13855421686746988
"2005-2006","3","OGC Nice","FC Sochaux",1,2,1.95,3,3.8,0.4622871046228711,0.30048661800486615,0.23722627737226276
"2005-2006","3","AS St. Etienne","FC Metz",2,0,1.77,3,4.75,0.5095199785465272,0.300616787342451,0.1898632341110217
"2005-2006","3","FC Nantes","AC Ajaccio",0,2,1.72,3.1,4.97,0.5260624022617235,0.2918797844806982,0.18205781325757833
"2005-2006","3","Le Mans FC","Stade Rennes",4,0,2.5,2.86,2.79,0.36098695282387216,0.31554803568520295,0.3234650114909248
"2005-2006","3","AJ Auxerre","Girondins Bordeaux",1,0,2,3,3.5,0.44680851063829785,0.2978723404255319,0.2553191489361702
"2005-2006","3","Lille OSC","ESTAC Troyes",1,2,1.53,3.39,6,0.5860539895754998,0.26450224308274767,0.14944376734175244
"2005-2006","3","AS Nancy","RC Lens",1,2,2.6,2.8,2.65,0.3436776285317276,0.31912922649374714,0.3371931449745253
"2005-2006","3","RC Strasbourg","AS Monaco",1,2,2.75,2.86,2.61,0.33165534431357213,0.31889936953228093,0.3494452861541469
"2005-2006","3","Olympique Marseille","Olympique Lyon",1,1,2.96,2.88,2.4,0.3066439522998296,0.31516183986371377,0.3781942078364566
"2005-2006","4","Girondins Bordeaux","AS Monaco",1,0,2.37,2.9,2.98,0.3827687619587556,0.3128144709800865,0.304416767061158
"2005-2006","4","FC Sochaux","Lille OSC",0,0,2.37,2.88,2.95,0.3807628702421448,0.3133361119700983,0.305901017787757
"2005-2006","4","OGC Nice","FC Nantes",1,1,2.1,2.97,3.42,0.4308291342189648,0.304626660558864,0.26454420522217137
"2005-2006","4","Stade Rennes","Olympique Marseille",3,2,2.5,2.9,2.85,0.36506183745583043,0.3147084805653711,0.3202296819787986
"2005-2006","4","FC Metz","RC Strasbourg",0,0,2.25,2.87,3.2,0.4020751701946019,0.31521572576231854,0.2827091040430795
"2005-2006","4","Olympique Lyon","AS Nancy",1,0,1.25,4.5,9.99,0.7128077060292545,0.1980021405636818,0.08919015340706386
"2005-2006","4","RC Lens","AJ Auxerre",7,0,2,3,3.6,0.44999999999999996,0.3,0.25
"2005-2006","4","AC Ajaccio","Le Mans FC",0,0,1.9,2.9,4.25,0.47568506368197605,0.3116557313778464,0.21265920494017754
"2005-2006","4","Toulouse FC","AS St. Etienne",1,1,2.2,2.9,3.25,0.4105859289915051,0.3114789806142453,0.27793509039424963
"2005-2006","4","ESTAC Troyes","Paris St. Germain",1,1,3.65,3,2,0.24742268041237114,0.30103092783505153,0.4515463917525774
"2005-2006","5","Lille OSC","Toulouse FC",0,0,1.75,3,4.7,0.5113327289211241,0.2982774252039891,0.19038984587488667
"2005-2006","5","Olympique Marseille","AC Ajaccio",1,1,1.62,3.25,5.45,0.5568830270542185,0.27758477040856433,0.16553220253721723
"2005-2006","5","RC Strasbourg","Girondins Bordeaux",0,0,2.4,2.88,2.97,0.37858508604206503,0.3154875717017208,0.30592734225621415
"2005-2006","5","AS St. Etienne","FC Sochaux",0,0,1.9,2.95,4,0.4719056188762248,0.30393921215756853,0.2241551689662068
"2005-2006","5","Paris St. Germain","OGC Nice",1,2,1.49,3.5,6.5,0.6042496679946878,0.2572377158034528,0.13851261620185923
"2005-2006","5","Le Mans FC","ESTAC Troyes",1,0,2.1,2.89,3.5,0.42980368828078525,0.3123140987507436,0.25788221296847114
"2005-2006","5","FC Nantes","FC Metz",0,0,1.79,3.1,4.72,0.5110758719935171,0.29510510028012765,0.19381902772635506
"2005-2006","5","AS Nancy","Stade Rennes",6,0,2.39,2.88,2.95,0.3787834879646183,0.31433768619286034,0.30687882584252124
"2005-2006","5","AS Monaco","RC Lens",0,0,1.83,3.15,4.15,0.4945803302877249,0.28732762045286875,0.2180920492594064
"2005-2006","5","AJ Auxerre","Olympique Lyon",0,2,3.15,3,2.2,0.28720626631853785,0.30156657963446476,0.4112271540469974
"2005-2006","6","Olympique Lyon","AS Monaco",2,1,1.8,3.02,4.77,0.5067434939530172,0.30203254606471225,0.19122395998227062
"2005-2006","6","Toulouse FC","Le Mans FC",0,2,1.95,2.9,4,0.4629814408301736,0.3113151067651167,0.2257034524047096
"2005-2006","6","OGC Nice","AS St. Etienne",0,1,2.17,2.85,3.45,0.4183419490714149,0.3185270278894633,0.26313102303912184
"2005-2006","6","Stade Rennes","AJ Auxerre",3,1,2.3,2.9,3,0.3906600808262236,0.3098338572070049,0.2995060619667714
