"season","round","hTeam","aTeam","hScore","aScore","hOdd","dOdd","aOdd","hProb","dProb","aProb"
"2005-2006","1","Bayern München","Bor. Mönchengladbach",3,0,1.31,4.5,9,0.6960556844547564,0.2026295436968291,0.10131477184841454
"2005-2006","1","MSV Duisburg","VfB Stuttgart",1,1,3,3.25,2.15,0.3013477088948787,0.278167115902965,0.4204851752021564
"2005-2006","1","VfL Wolfsburg","Borussia Dortmund",2,2,2.4,3.2,2.62,0.3750894774516822,0.28131710808876165,0.34359341445955616
"2005-2006","1","1. FC Köln","1. FSV Mainz 05",1,0,2,3.29,3.35,0.45353167499948566,0.27570314589634387,0.27076517910417053
"2005-2006","1","Hannover 96","Hertha BSC",2,2,2.55,3.2,2.45,0.35239914597145755,0.2808180694460052,0.3667827845825373
"2005-2006","1","Hamburger SV","1. FC Nürnberg",3,0,1.53,3.6,5.85,0.5929304446978335,0.2519954389965792,0.15507411630558723
"2005-2006","1","Werder Bremen","Arminia Bielefeld",5,2,1.4,4,7.5,0.6507592190889371,0.22776572668112796,0.12147505422993492
"2005-2006","1","Eintracht Frankfurt","Bayer Leverkusen",1,4,2.75,3.25,2.27,0.32705308655657767,0.2767372270863349,0.3962096863570874
"2005-2006","1","FC Schalke 04","1. FC Kaiserslautern",2,1,1.45,3.82,6.65,0.6259286180684744,0.2375907058113319,0.13648067612019366
"2005-2006","2","Arminia Bielefeld","Hamburger SV",0,2,3.1,3.25,2.1,0.29154207603588206,0.2780862879111491,0.4303716360529688
"2005-2006","2","1. FC Kaiserslautern","MSV Duisburg",5,3,1.8,3.4,4,0.5052005943536404,0.2674591381872214,0.22734026745913816
"2005-2006","2","1. FC Nürnberg","Hannover 96",1,1,2.25,3.25,2.9,0.40515851692638366,0.2804943578721118,0.3143471252015046
"2005-2006","2","Hertha BSC","Eintracht Frankfurt",2,0,1.4,4,7.5,0.6507592190889371,0.22776572668112796,0.12147505422993492
"2005-2006","2","Borussia Dortmund","FC Schalke 04",1,2,2.5,3.2,2.55,0.3621033947193255,0.28289327712447304,0.3550033281562015
"2005-2006","2","Bayer Leverkusen","Bayern München",2,5,2.88,3.25,2.25,0.3158406219630709,0.27988338192419826,0.40427599611273074
"2005-2006","2","Bor. Mönchengladbach","VfL Wolfsburg",1,1,2.1,3.25,3.12,0.43117744610281916,0.27860696517412936,0.29021558872305137
"2005-2006","2","VfB Stuttgart","1. FC Köln",2,3,1.5,3.74,6.25,0.6093587069864442,0.24439520333680914,0.14624608967674663
"2005-2006","2","1. FSV Mainz 05","Werder Bremen",0,2,3.1,3.25,2.1,0.29154207603588206,0.2780862879111491,0.4303716360529688
"2005-2006","3","Eintracht Frankfurt","1. FC Nürnberg",1,0,2.1,3.25,3.2,0.43432866986844854,0.2806431405303822,0.2850281896011694
"2005-2006","3","Werder Bremen","VfB Stuttgart",1,1,1.78,3.4,4.2,0.5135212888377445,0.268843498273878,0.2176352128883774
"2005-2006","3","Bayern München","Hertha BSC",3,0,1.4,4.1,7.5,0.6543945520323473,0.22345179825494788,0.12215364971270481
"2005-2006","3","1. FC Köln","1. FC Kaiserslautern",2,3,2.05,3.29,3.25,0.44368140417850993,0.27645801780119916,0.27986057802029085
"2005-2006","3","VfL Wolfsburg","Bayer Leverkusen",2,1,2.45,3.25,2.6,0.3708987161198288,0.2796005706134094,0.34950071326676174
"2005-2006","3","Hamburger SV","Hannover 96",1,1,1.53,3.75,5.63,0.5953236953634541,0.24289206770828925,0.1617842369282566
"2005-2006","3","FC Schalke 04","Bor. Mönchengladbach",1,1,1.35,4.31,8,0.6747751890955703,0.2113564977445522,0.11386831315987749
"2005-2006","3","MSV Duisburg","Borussia Dortmund",1,1,2.75,3.29,2.28,0.3287303834136037,0.274774636591918,0.3964949799944782
"2005-2006","3","Arminia Bielefeld","1. FSV Mainz 05",2,0,2.1,3.25,3.2,0.43432866986844854,0.2806431405303822,0.2850281896011694
"2005-2006","4","1. FC Nürnberg","Bayern München",1,2,6.25,3.75,1.5,0.14634146341463417,0.24390243902439027,0.6097560975609756
"2005-2006","4","Hannover 96","Eintracht Frankfurt",2,0,1.8,3.4,4.03,0.5060570246712957,0.26791254247303886,0.22603043285566551
"2005-2006","4","1. FSV Mainz 05","Hamburger SV",1,3,3.25,3.3,2,0.2770199370409234,0.2728226652675761,0.45015739769150054
"2005-2006","4","VfB Stuttgart","Arminia Bielefeld",1,1,1.46,3.75,7,0.6258195255691977,0.243652401954941,0.13052807247586123
"2005-2006","4","Bayer Leverkusen","FC Schalke 04",1,1,2.8,3.25,2.31,0.32534506294554827,0.2802972849992416,0.39435765205521006
"2005-2006","4","1. FC Kaiserslautern","Werder Bremen",1,5,2.85,3.3,2.25,0.3194578896418199,0.27589545014520817,0.40464666021297196
"2005-2006","4","Bor. Mönchengladbach","MSV Duisburg",2,1,1.75,3.4,4.33,0.5211419671144621,0.2682348360147967,0.21062319687074105
"2005-2006","4","Hertha BSC","VfL Wolfsburg",3,0,1.68,3.45,4.65,0.5410532706025193,0.2634694187281833,0.19547731066929727
"2005-2006","4","Borussia Dortmund","1. FC Köln",2,1,1.7,3.5,4.5,0.5366269165247018,0.2606473594548552,0.2027257240204429
"2005-2006","5","Arminia Bielefeld","1. FC Kaiserslautern",0,0,2.25,3.3,2.85,0.40464666021297196,0.27589545014520817,0.3194578896418199
"2005-2006","5","Werder Bremen","Borussia Dortmund",3,2,1.61,3.6,5.06,0.5664425690173079,0.253325704477185,0.18023172650550712
"2005-2006","5","1. FSV Mainz 05","VfB Stuttgart",1,2,3.1,3.29,2.1,0.2925311203319502,0.27563722584469474,0.4318316538233551
"2005-2006","5","Hamburger SV","Eintracht Frankfurt",1,1,1.39,4.15,7.74,0.6602724464059234,0.22115149409740562,0.11857605949667098
"2005-2006","5","Bayern München","Hannover 96",1,0,1.26,5,9.5,0.7222137752774822,0.1819978713699255,0.09578835335259236
"2005-2006","5","1. FC Köln","Bor. Mönchengladbach",2,1,2.2,3.25,3,0.4148936170212766,0.28085106382978725,0.30425531914893617
"2005-2006","5","VfL Wolfsburg","1. FC Nürnberg",1,1,1.66,3.5,4.99,0.5534184242547151,0.262478452646522,0.1841031230987629
"2005-2006","5","MSV Duisburg","Bayer Leverkusen",1,3,3.05,3.3,2.15,0.29914620006324444,0.27648360914936226,0.42437019078739324
"2005-2006","5","FC Schalke 04","Hertha BSC",0,0,1.8,3.4,4.05,0.5066225165562914,0.2682119205298013,0.22516556291390727
"2005-2006","6","Eintracht Frankfurt","Bayern München",0,1,6.25,3.75,1.5,0.14634146341463417,0.24390243902439027,0.6097560975609756
"2005-2006","6","Hannover 96","VfL Wolfsburg",2,4,2.1,3.25,3.1,0.4303716360529688,0.2780862879111491,0.29154207603588206
"2005-2006","6","Borussia Dortmund","Arminia Bielefeld",2,0,1.55,3.55,5.86,0.5878463342611301,0.25666530087457795,0.15548836486429207
"2005-2006","6","Bor. Mönchengladbach","Werder Bremen",2,1,3.4,3.3,2,0.26807473598700243,0.27619821283509344,0.45572705117790413
"2005-2006","6","VfB Stuttgart","Hamburger SV",1,2,2.2,3.25,2.97,0.41362243695498463,0.2799905727079896,0.30638699033702566
"2005-2006","6","1. FC Nürnberg","FC Schalke 04",1,1,3.75,3.3,1.9,0.24330616996507567,0.2764842840512224,0.48020954598370197
"2005-2006","6","1. FC Kaiserslautern","1. FSV Mainz 05",0,2,1.65,3.5,5,0.5551149881046789,0.2616970658207772,0.18318794607454403
"2005-2006","6","Bayer Leverkusen","1. FC Köln",2,1,1.6,3.57,5,0.5655535137190292,0.25346936189088143,0.18097712439008934
"2005-2006","6","Hertha BSC","MSV Duisburg",3,2,1.36,4.2,8,0.66942939113803,0.21676761236850495,0.1138029964934651
"2005-2006","7","VfL Wolfsburg","Eintracht Frankfurt",1,0,1.6,3.5,5.12,0.5650857719475278,0.25832492431886983,0.17658930373360243
"2005-2006","7","FC Schalke 04","Hannover 96",2,0,1.5,3.75,6.5,0.6132075471698112,0.2452830188679245,0.14150943396226415
"2005-2006","7","MSV Duisburg","1. FC Nürnberg",1,0,2.1,3.3,3.16,0.43460865216304073,0.2765691422855714,0.2888222055513878
"2005-2006","7","1. FSV Mainz 05","Borussia Dortmund",1,1,2.97,3.25,2.2,0.30638699033702566,0.2799905727079896,0.41362243695498463
"2005-2006","7","Werder Bremen","Bayer Leverkusen",2,1,1.75,3.4,4.3,0.5203772913329774,0.2678412528919737,0.21178145577504895
"2005-2006","7","Hamburger SV","Bayern München",2,0,3.25,3.3,2.09,0.28249605767064656,0.27821581437260645,0.43928812795674704
"2005-2006","7","Arminia Bielefeld","Bor. Mönchengladbach",0,2,2.3,3.25,2.8,0.39539430805996095,0.279817510319357,0.3247881816206822
"2005-2006","7","1. FC Köln","Hertha BSC",0,1,2.7,3.25,2.4,0.3383214053350683,0.28106701366297987,0.38061158100195186
"2005-2006","7","VfB Stuttgart","1. FC Kaiserslautern",1,0,1.65,3.5,5,0.5551149881046789,0.2616970658207772,0.18318794607454403
"2005-2006","8","Eintracht Frankfurt","FC Schalke 04",0,1,3.55,3.3,1.91,0.25416859890719196,0.2734237957941004,0.4724076052987075
"2005-2006","8","Hannover 96","MSV Duisburg",1,1,1.75,3.39,4.29,0.5197101107454142,0.2682869303258038,0.21200295892878201
"2005-2006","8","1. FC Nürnberg","1. FC Köln",2,1,2.2,3.25,3,0.4148936170212766,0.28085106382978725,0.30425531914893617
"2005-2006","8","Bayern München","VfL Wolfsburg",2,0,1.3,4.52,8.63,0.6952904143479981,0.1999729067815039,0.10473667887049797
"2005-2006","8","Bayer Leverkusen","Arminia Bielefeld",1,1,1.44,3.85,6.95,0.6324229782909276,0.23654262045167163,0.13103440125740085
"2005-2006","8","Hertha BSC","Werder Bremen",1,2,2.25,3.25,2.85,0.4029363784665579,0.27895595432300163,0.3181076672104404
"2005-2006","8","Bor. Mönchengladbach","1. FSV Mainz 05",1,0,1.61,3.5,5,0.5611672278338945,0.25813692480359146,0.18069584736251407
"2005-2006","8","Borussia Dortmund","VfB Stuttgart",0,0,2.25,3.25,2.88,0.40427599611273074,0.27988338192419826,0.3158406219630709
"2005-2006","8","1. FC Kaiserslautern","Hamburger SV",0,3,3,3.25,2.2,0.30425531914893617,0.28085106382978725,0.4148936170212766
"2005-2006","9","Werder Bremen","1. FC Nürnberg",6,2,1.33,4.33,8.5,0.683232811510909,0.20986134857032537,0.10690583991876576
"2005-2006","9","Arminia Bielefeld","Hertha BSC",3,0,3.25,3.29,2.1,0.2828485456369108,0.2794096575440608,0.4377417968190286
"2005-2006","9","1. FSV Mainz 05","Bayer Leverkusen",3,1,3,3.25,2.2,0.30425531914893617,0.28085106382978725,0.4148936170212766
"2005-2006","9","VfB Stuttgart","Bor. Mönchengladbach",1,1,1.8,3.3,4,0.5011389521640092,0.2733485193621868,0.2255125284738041
