"season","round","hTeam","aTeam","hScore","aScore","hOdd","dOdd","aOdd","hProb","dProb","aProb"
"2005-2006","1","AS Livorno","US Lecce",2,1,1.9,3.05,4,0.47665559679624925,0.29693299472553236,0.2264114084782184
"2005-2006","1","ACF Fiorentina","Sampdoria",2,1,2.22,2.9,3.32,0.4108139475346042,0.314485159836835,0.27470089262856073
"2005-2006","1","Internazionale","FC Treviso",3,0,1.17,5.75,9.99,0.7572342116815168,0.15408070046389125,0.08868508785459205
"2005-2006","1","Ascoli Picchio FC","AC Milan",1,1,9,4,1.35,0.10084033613445377,0.226890756302521,0.6722689075630252
"2005-2006","1","Robur Siena","Cagliari Calcio",2,1,2.2,2.9,3.39,0.41535341586040814,0.31509569479065447,0.26955088934893745
"2005-2006","1","Reggina Calcio","AS Roma",0,3,3.79,3.05,2,0.24168466094811702,0.30032290655520116,0.45799243249668176
"2005-2006","1","Udinese Calcio","Empoli FC",1,0,1.55,3.4,6,0.5833571632828138,0.26594223620245927,0.1507006005147269
"2005-2006","1","Parma FC","US Palermo",1,1,2.45,2.85,2.97,0.3724998349726054,0.32021915637995907,0.30728100864743546
"2005-2006","1","Lazio Roma","FC Messina",1,0,1.85,3.07,4.2,0.48945660219788556,0.29494941826256954,0.21559397953954484
"2005-2006","1","Juventus","Chievo Verona",1,0,1.22,5.15,9.99,0.7358268746969722,0.17431238585054484,0.08986073945248307
"2005-2006","2","US Palermo","Internazionale",3,2,3.77,3.07,2,0.24313076396120997,0.2985677459719093,0.45830149006688076
"2005-2006","2","AC Milan","Robur Siena",3,1,1.2,5.5,9.99,0.7472155358818491,0.16302884419240343,0.08975561992574763
"2005-2006","2","Sampdoria","Reggina Calcio",3,2,1.5,3.5,7.5,0.6140350877192983,0.2631578947368421,0.12280701754385966
"2005-2006","2","FC Treviso","AS Livorno",0,1,2.5,2.88,2.8,0.362199065756378,0.3144089112468559,0.32339202299676606
"2005-2006","2","US Lecce","Ascoli Picchio FC",0,0,1.7,3.15,5,0.5320047289309238,0.28711366323256204,0.1808816078365141
"2005-2006","2","Empoli FC","Juventus",0,4,7.02,3.64,1.45,0.12870094465225385,0.24820896468648954,0.6230900906612566
"2005-2006","2","Chievo Verona","Parma FC",1,0,2.25,2.87,3.35,0.4072301404095809,0.31925707871831255,0.27351278087210656
"2005-2006","2","FC Messina","ACF Fiorentina",2,2,2.6,2.88,2.7,0.3489499192245557,0.3150242326332795,0.3360258481421648
"2005-2006","2","AS Roma","Udinese Calcio",0,1,1.8,3.16,4.35,0.5041813380281691,0.2871919014084507,0.20862676056338034
"2005-2006","2","Cagliari Calcio","Lazio Roma",1,1,2.22,2.95,3.2,0.40878188195557097,0.30762568743775176,0.2835924306066774
"2005-2006","3","Parma FC","Empoli FC",1,0,1.77,3.1,4.7,0.5134620806315195,0.29317028474767404,0.19336763462080628
"2005-2006","3","Internazionale","US Lecce",3,0,1.22,5.25,9.99,0.7382781322714009,0.17156177549925886,0.09016009222934024
"2005-2006","3","Robur Siena","US Palermo",1,2,2.72,2.86,2.6,0.33364442370508635,0.3173121791880542,0.34904339710685955
"2005-2006","3","Reggina Calcio","Chievo Verona",1,3,2.3,2.82,3.22,0.39527432919503414,0.3223868642370845,0.28233880656788146
"2005-2006","3","Sampdoria","AC Milan",2,1,4.29,3.1,1.84,0.21207141423079495,0.2934794732419711,0.4944491125272339
"2005-2006","3","Cagliari Calcio","FC Messina",1,1,2.11,2.89,3.5,0.4286398365956293,0.3129515761995771,0.25840858720479365
"2005-2006","3","ACF Fiorentina","Udinese Calcio",4,2,2.24,2.9,3.25,0.4062324899788802,0.31377957846644544,0.2799879315546744
"2005-2006","3","Juventus","Ascoli Picchio FC",2,1,1.14,6.5,9.99,0.7754951417352175,0.1360099171658689,0.08849494109891369
"2005-2006","3","Lazio Roma","FC Treviso",3,1,1.57,3.4,6.5,0.5870945461307546,0.2710995404192014,0.14180591345004384
"2005-2006","3","AS Livorno","AS Roma",0,0,3.2,3,2.2,0.28399311531841653,0.3029259896729776,0.41308089500860584
"2005-2006","4","FC Treviso","Sampdoria",0,2,3.75,3,2,0.2424242424242424,0.303030303030303,0.45454545454545453
